"","SpringName","Water_Year","snowmelt_timing"
"1","Artemis","2017",117.84
"2","Artemis","2018",101.673333333333
"3","Artemis","2019",132.24
"4","Artemis","2020",133.2
"5","Artemis","2021",117.48
"6","Artemis","2022",111.706666666667
"7","Artemis","2023",133.6
"8","Artemis","2024",122.253333333333
"9","Aspens","2017",110.6
"10","Aspens","2018",106.486666666667
"11","Aspens","2019",128.493333333333
"12","Aspens","2020",126
"13","Aspens","2021",127.186666666667
"14","Aspens","2022",120.58
"15","Aspens","2023",150.4
"16","Aspens","2024",127.08
"17","Big Joe","2017",115.426666666667
"18","Big Joe","2018",106.486666666667
"19","Big Joe","2019",138.146666666667
"20","Big Joe","2020",139.7
"21","Big Joe","2021",132.04
"22","Big Joe","2022",127.146666666667
"23","Big Joe","2023",162.4
"24","Big Joe","2024",129.493333333333
"25","Big Slump","2017",127.493333333333
"26","Big Slump","2018",171.466666666667
"27","Big Slump","2019",141.813333333333
"28","Big Slump","2020",152.993333333333
"29","Big Slump","2021",141.746666666667
"30","Big Slump","2022",126.493333333333
"31","Big Slump","2023",164.8
"32","Big Slump","2024",141.56
"33","Black Cliffs","2017",117.84
"34","Black Cliffs","2018",120.253333333333
"35","Black Cliffs","2019",129.846666666667
"36","Black Cliffs","2020",118.8
"37","Black Cliffs","2021",124.76
"38","Black Cliffs","2022",108.48
"39","Black Cliffs","2023",119.2
"40","Black Cliffs","2024",115.013333333333
"41","Black Talus","2017",115.426666666667
"42","Black Talus","2018",123.333333333333
"43","Black Talus","2019",129.846666666667
"44","Black Talus","2020",130.8
"45","Black Talus","2021",127.186666666667
"46","Black Talus","2022",112.706666666667
"47","Black Talus","2023",162.4
"48","Black Talus","2024",122.253333333333
"49","Bog","2017",168.52
"50","Bog","2018",177.84
"51","Bog","2019",194.466666666667
"52","Bog","2020",190.8
"53","Bog","2021",192.706666666667
"54","Bog","2022",141.586666666667
"55","Bog","2023",195.533333333333
"56","Bog","2024",173.466666666667
"57","Calf","2017",141.973333333333
"58","Calf","2018",89.5333333333333
"59","Calf","2019",153.78
"60","Calf","2020",155.386666666667
"61","Calf","2021",146.6
"62","Calf","2022",119.926666666667
"63","Calf","2023",169.06
"64","Calf","2024",153.626666666667
"65","Cave","2017",115.426666666667
"66","Cave","2018",101.673333333333
"67","Cave","2019",128.493333333333
"68","Cave","2020",130.8
"69","Cave","2021",129.613333333333
"70","Cave","2022",120.58
"71","Cave","2023",160
"72","Cave","2024",131.906666666667
"73","Ceanothus","2017",129.906666666667
"74","Ceanothus","2018",177.84
"75","Ceanothus","2019",156.173333333333
"76","Ceanothus","2020",159.6
"77","Ceanothus","2021",141.746666666667
"78","Ceanothus","2022",127.146666666667
"79","Ceanothus","2023",179.2
"80","Ceanothus","2024",139.146666666667
"81","Charred Snag","2017",117.84
"82","Charred Snag","2018",108.893333333333
"83","Charred Snag","2019",130.906666666667
"84","Charred Snag","2020",137.266666666667
"85","Charred Snag","2021",119.906666666667
"86","Charred Snag","2022",110.9
"87","Charred Snag","2023",109.6
"88","Charred Snag","2024",129.493333333333
"89","Complex 2","2017",113.013333333333
"90","Complex 2","2018",106.486666666667
"91","Complex 2","2019",133.32
"92","Complex 2","2020",135.466666666667
"93","Complex 2","2021",117.48
"94","Complex 2","2022",117.48
"95","Complex 2","2023",140.8
"96","Complex 2","2024",131.906666666667
"97","Complex 3","2017",113.013333333333
"98","Complex 3","2018",106.486666666667
"99","Complex 3","2019",133.32
"100","Complex 3","2020",135.466666666667
"101","Complex 3","2021",117.48
"102","Complex 3","2022",117.48
"103","Complex 3","2023",140.8
"104","Complex 3","2024",131.906666666667
"105","Cougar37","2017",122.666666666667
"106","Cougar37","2018",166.653333333333
"107","Cougar37","2019",156.173333333333
"108","Cougar37","2020",157.2
"109","Cougar37","2021",144.173333333333
"110","Cougar37","2022",126.493333333333
"111","Cougar37","2023",164.8
"112","Cougar37","2024",136.733333333333
"113","Cougar39","2017",120.253333333333
"114","Cougar39","2018",125.74
"115","Cougar39","2019",148.993333333333
"116","Cougar39","2020",152.4
"117","Cougar39","2021",132.04
"118","Cougar39","2022",122.333333333333
"119","Cougar39","2023",164.8
"120","Cougar39","2024",124.666666666667
"121","Drinking Bull Snake","2017",120.253333333333
"122","Drinking Bull Snake","2018",127.493333333333
"123","Drinking Bull Snake","2019",128.493333333333
"124","Drinking Bull Snake","2020",120.233333333333
"125","Drinking Bull Snake","2021",105.346666666667
"126","Drinking Bull Snake","2022",113.32
"127","Drinking Bull Snake","2023",112
"128","Drinking Bull Snake","2024",107.773333333333
"129","Dunce4","2017",113.013333333333
"130","Dunce4","2018",128.146666666667
"131","Dunce4","2019",134.633333333333
"132","Dunce4","2020",128.186666666667
"133","Dunce4","2021",117.48
"134","Dunce4","2022",115.053333333333
"135","Dunce4","2023",104.8
"136","Dunce4","2024",129.493333333333
"137","Dunce9","2017",125.08
"138","Dunce9","2018",100.946666666667
"139","Dunce9","2019",117.88
"140","Dunce9","2020",122.666666666667
"141","Dunce9","2021",112.626666666667
"142","Dunce9","2022",110.2
"143","Dunce9","2023",100
"144","Dunce9","2024",124.666666666667
"145","East Pioneer","2017",110.6
"146","East Pioneer","2018",104.08
"147","East Pioneer","2019",134.633333333333
"148","East Pioneer","2020",130.613333333333
"149","East Pioneer","2021",127.186666666667
"150","East Pioneer","2022",115.74
"151","East Pioneer","2023",138.4
"152","East Pioneer","2024",127.08
"153","Equisetum","2017",117.84
"154","Equisetum","2018",125.74
"155","Equisetum","2019",137.026666666667
"156","Equisetum","2020",133.04
"157","Equisetum","2021",124.76
"158","Equisetum","2022",117.52
"159","Equisetum","2023",164.8
"160","Equisetum","2024",117.426666666667
"161","Game Knob","2017",120.253333333333
"162","Game Knob","2018",120.253333333333
"163","Game Knob","2019",129.846666666667
"164","Game Knob","2020",130.613333333333
"165","Game Knob","2021",122.333333333333
"166","Game Knob","2022",118.16
"167","Game Knob","2023",112
"168","Game Knob","2024",115.013333333333
"169","Goat Ridge","2017",120.253333333333
"170","Goat Ridge","2018",128.146666666667
"171","Goat Ridge","2019",146.6
"172","Goat Ridge","2020",154.8
"173","Goat Ridge","2021",144.173333333333
"174","Goat Ridge","2022",125.42
"175","Goat Ridge","2023",162.4
"176","Goat Ridge","2024",124.666666666667
"177","Goat8","2017",113.013333333333
"178","Goat8","2018",128.146666666667
"179","Goat8","2019",137.026666666667
"180","Goat8","2020",133.04
"181","Goat8","2021",124.76
"182","Goat8","2022",115.113333333333
"183","Goat8","2023",167.2
"184","Goat8","2024",129.493333333333
"185","Gun Shot","2017",113.013333333333
"186","Gun Shot","2018",84.8266666666667
"187","Gun Shot","2019",126.08
"188","Gun Shot","2020",120.233333333333
"189","Gun Shot","2021",110.2
"190","Gun Shot","2022",112.706666666667
"191","Gun Shot","2023",107.2
"192","Gun Shot","2024",119.84
"193","Heleport","2017",120.253333333333
"194","Heleport","2018",108.893333333333
"195","Heleport","2019",133.32
"196","Heleport","2020",138
"197","Heleport","2021",136.893333333333
"198","Heleport","2022",123
"199","Heleport","2023",152.8
"200","Heleport","2024",134.32
"201","Hole","2017",120.253333333333
"202","Hole","2018",93.7066666666667
"203","Hole","2019",133.32
"204","Hole","2020",133.2
"205","Hole","2021",127.186666666667
"206","Hole","2022",117.52
"207","Hole","2023",107.2
"208","Hole","2024",112.6
"209","Lobauer","2017",112.32
"210","Lobauer","2018",111.3
"211","Lobauer","2019",123.666666666667
"212","Lobauer","2020",120.233333333333
"213","Lobauer","2021",112.626666666667
"214","Lobauer","2022",110.3
"215","Lobauer","2023",97.6
"216","Lobauer","2024",115.013333333333
"217","Meadow","2017",120.253333333333
"218","Meadow","2018",108.893333333333
"219","Meadow","2019",132.24
"220","Meadow","2020",135.466666666667
"221","Meadow","2021",122.333333333333
"222","Meadow","2022",114.8
"223","Meadow","2023",92.8
"224","Meadow","2024",136.733333333333
"225","Mountain Alder","2017",117.84
"226","Mountain Alder","2018",111.3
"227","Mountain Alder","2019",134.633333333333
"228","Mountain Alder","2020",135.6
"229","Mountain Alder","2021",129.613333333333
"230","Mountain Alder","2022",124.74
"231","Mountain Alder","2023",162.4
"232","Mountain Alder","2024",134.32
"233","Nervous Grouse","2017",120.253333333333
"234","Nervous Grouse","2018",93.7066666666667
"235","Nervous Grouse","2019",133.32
"236","Nervous Grouse","2020",133.2
"237","Nervous Grouse","2021",127.186666666667
"238","Nervous Grouse","2022",117.52
"239","Nervous Grouse","2023",107.2
"240","Nervous Grouse","2024",112.6
"241","North Pioneer","2017",115.426666666667
"242","North Pioneer","2018",111.3
"243","North Pioneer","2019",128.493333333333
"244","North Pioneer","2020",135.6
"245","North Pioneer","2021",127.186666666667
"246","North Pioneer","2022",119.906666666667
"247","North Pioneer","2023",155.2
"248","North Pioneer","2024",129.493333333333
"249","Picea","2017",151.626666666667
"250","Picea","2018",171.466666666667
"251","Picea","2019",192.073333333333
"252","Picea","2020",181.2
"253","Picea","2021",129.613333333333
"254","Picea","2022",134.366666666667
"255","Picea","2023",190.72
"256","Picea","2024",161.433333333333
"257","Raspberry","2017",117.84
"258","Raspberry","2018",100.946666666667
"259","Raspberry","2019",125.06
"260","Raspberry","2020",125.76
"261","Raspberry","2021",115.053333333333
"262","Raspberry","2022",112.706666666667
"263","Raspberry","2023",112
"264","Raspberry","2024",112.6
"265","Salix","2017",113.013333333333
"266","Salix","2018",106.486666666667
"267","Salix","2019",128.493333333333
"268","Salix","2020",130.8
"269","Salix","2021",122.333333333333
"270","Salix","2022",118.16
"271","Salix","2023",140.8
"272","Salix","2024",129.493333333333
"273","Sedge","2017",122.666666666667
"274","Sedge","2018",159.433333333333
"275","Sedge","2019",153.78
"276","Sedge","2020",154.8
"277","Sedge","2021",144.173333333333
"278","Sedge","2022",122.333333333333
"279","Sedge","2023",162.4
"280","Sedge","2024",127.08
"281","Snail","2017",120.253333333333
"282","Snail","2018",127.493333333333
"283","Snail","2019",128.493333333333
"284","Snail","2020",120.233333333333
"285","Snail","2021",105.346666666667
"286","Snail","2022",113.32
"287","Snail","2023",112
"288","Snail","2024",107.773333333333
"289","Soldier Bar","2017",115.426666666667
"290","Soldier Bar","2018",117.84
"291","Soldier Bar","2019",116.426666666667
"292","Soldier Bar","2020",127.533333333333
"293","Soldier Bar","2021",112.626666666667
"294","Soldier Bar","2022",112.626666666667
"295","Soldier Bar","2023",108.893333333333
"296","Soldier Bar","2024",119.84
"297","West Goat","2017",113.013333333333
"298","West Goat","2018",125.08
"299","West Goat","2019",127.453333333333
"300","West Goat","2020",130.613333333333
"301","West Goat","2021",117.48
"302","West Goat","2022",110.3
"303","West Goat","2023",112
"304","West Goat","2024",124.666666666667
"305","Wolf Skat","2017",117.16
"306","Wolf Skat","2018",89.64
"307","Wolf Skat","2019",123.666666666667
"308","Wolf Skat","2020",122.666666666667
"309","Wolf Skat","2021",122.333333333333
"310","Wolf Skat","2022",117.52
"311","Wolf Skat","2023",109.6
"312","Wolf Skat","2024",110.186666666667
"313","Wolf Skull","2017",115.426666666667
"314","Wolf Skull","2018",116.113333333333
"315","Wolf Skull","2019",146.6
"316","Wolf Skull","2020",150
"317","Wolf Skull","2021",127.186666666667
"318","Wolf Skull","2022",117.52
"319","Wolf Skull","2023",164.8
"320","Wolf Skull","2024",122.253333333333
"321","Artemis","2014",101.58
"322","Artemis","2015",100.493333333333
"323","Artemis","2016",105.08
"324","Aspens","2014",110.8
"325","Aspens","2015",98.0666666666667
"326","Aspens","2016",101.493333333333
"327","Big Joe","2014",111.1
"328","Big Joe","2015",106.06
"329","Big Joe","2016",105.36
"330","Big Slump","2014",101.8
"331","Big Slump","2015",106.06
"332","Big Slump","2016",122.253333333333
"333","Black Cliffs","2014",103.96
"334","Black Cliffs","2015",91.54
"335","Black Cliffs","2016",117.426666666667
"336","Black Talus","2014",99.1266666666667
"337","Black Talus","2015",86.7
"338","Black Talus","2016",119.84
"339","Bog","2014",189.64
"340","Bog","2015",168.98
"341","Bog","2016",174.293333333333
"342","Calf","2014",184.88
"343","Calf","2015",115.74
"344","Calf","2016",136.733333333333
"345","Cave","2014",101.306666666667
"346","Cave","2015",102.92
"347","Cave","2016",106.06
"348","Ceanothus","2014",184.88
"349","Ceanothus","2015",120.58
"350","Ceanothus","2016",152.453333333333
"351","Charred Snag","2014",111.1
"352","Charred Snag","2015",93.96
"353","Charred Snag","2016",112.6
"354","Complex 2","2014",113.48
"355","Complex 2","2015",100.493333333333
"356","Complex 2","2016",105.08
"357","Complex 3","2014",113.48
"358","Complex 3","2015",100.493333333333
"359","Complex 3","2016",105.08
"360","Cougar37","2014",180.12
"361","Cougar37","2015",115.74
"362","Cougar37","2016",152.453333333333
"363","Cougar39","2014",101.58
"364","Cougar39","2015",103.64
"365","Cougar39","2016",118.48
"366","Drinking Bull Snake","2014",102.306666666667
"367","Drinking Bull Snake","2015",93.2133333333333
"368","Drinking Bull Snake","2016",116.053333333333
"369","Dunce4","2014",106.34
"370","Dunce4","2015",89.12
"371","Dunce4","2016",117.426666666667
"372","Dunce9","2014",101.58
"373","Dunce9","2015",81.08
"374","Dunce9","2016",122.253333333333
"375","East Pioneer","2014",108.72
"376","East Pioneer","2015",100.493333333333
"377","East Pioneer","2016",105.36
"378","Equisetum","2014",111.093333333333
"379","Equisetum","2015",93.96
"380","Equisetum","2016",115.013333333333
"381","Game Knob","2014",111.1
"382","Game Knob","2015",98.0666666666667
"383","Game Knob","2016",118.48
"384","Goat Ridge","2014",125.453333333333
"385","Goat Ridge","2015",101.22
"386","Goat Ridge","2016",112.6
"387","Goat8","2014",108.7
"388","Goat8","2015",84.28
"389","Goat8","2016",115.013333333333
"390","Gun Shot","2014",101.58
"391","Gun Shot","2015",93.96
"392","Gun Shot","2016",107.773333333333
"393","Heleport","2014",118.24
"394","Heleport","2015",102.92
"395","Heleport","2016",103.64
"396","Hole","2014",95.1866666666667
"397","Hole","2015",73.8
"398","Hole","2016",93.0466666666667
"399","Lobauer","2014",96.82
"400","Lobauer","2015",84.28
"401","Lobauer","2016",119.84
"402","Meadow","2014",120.62
"403","Meadow","2015",93.96
"404","Meadow","2016",105.36
"405","Mountain Alder","2014",106.34
"406","Mountain Alder","2015",107.773333333333
"407","Mountain Alder","2016",107.773333333333
"408","Nervous Grouse","2014",95.1866666666667
"409","Nervous Grouse","2015",73.8
"410","Nervous Grouse","2016",93.0466666666667
"411","North Pioneer","2014",111.1
"412","North Pioneer","2015",102.92
"413","North Pioneer","2016",102.673333333333
"414","Picea","2014",187.26
"415","Picea","2015",149.62
"416","Picea","2016",171.866666666667
"417","Raspberry","2014",99.9333333333333
"418","Raspberry","2015",78.6533333333333
"419","Raspberry","2016",117.113333333333
"420","Salix","2014",113.48
"421","Salix","2015",100.493333333333
"422","Salix","2016",105.36
"423","Sedge","2014",175.36
"424","Sedge","2015",106.06
"425","Sedge","2016",125.76
"426","Snail","2014",102.306666666667
"427","Snail","2015",93.2133333333333
"428","Snail","2016",116.053333333333
"429","Soldier Bar","2014",101.58
"430","Soldier Bar","2015",85.9333333333333
"431","Soldier Bar","2016",110.186666666667
"432","West Goat","2014",98.9333333333333
"433","West Goat","2015",81.86
"434","West Goat","2016",119.84
"435","Wolf Skat","2014",101.58
"436","Wolf Skat","2015",89.12
"437","Wolf Skat","2016",107.486666666667
"438","Wolf Skull","2014",101.58
"439","Wolf Skull","2015",106.06
"440","Wolf Skull","2016",117.426666666667
"441","Artemis","2014",101.58
"442","Artemis","2015",100.493333333333
"443","Artemis","2016",105.08
"444","Aspens","2014",110.8
"445","Aspens","2015",98.0666666666667
"446","Aspens","2016",101.493333333333
"447","Big Joe","2014",111.1
"448","Big Joe","2015",106.06
"449","Big Joe","2016",105.36
"450","Big Slump","2014",101.8
"451","Big Slump","2015",106.06
"452","Big Slump","2016",122.253333333333
"453","Black Cliffs","2014",103.96
"454","Black Cliffs","2015",91.54
"455","Black Cliffs","2016",117.426666666667
"456","Black Talus","2014",99.1266666666667
"457","Black Talus","2015",86.7
"458","Black Talus","2016",119.84
"459","Bog","2014",189.64
"460","Bog","2015",168.98
"461","Bog","2016",174.293333333333
"462","Calf","2014",184.88
"463","Calf","2015",115.74
"464","Calf","2016",136.733333333333
"465","Cave","2014",101.306666666667
"466","Cave","2015",102.92
"467","Cave","2016",106.06
"468","Ceanothus","2014",184.88
"469","Ceanothus","2015",120.58
"470","Ceanothus","2016",152.453333333333
"471","Charred Snag","2014",111.1
"472","Charred Snag","2015",93.96
"473","Charred Snag","2016",112.6
"474","Complex 2","2014",113.48
"475","Complex 2","2015",100.493333333333
"476","Complex 2","2016",105.08
"477","Complex 3","2014",113.48
"478","Complex 3","2015",100.493333333333
"479","Complex 3","2016",105.08
"480","Cougar_37","2014",180.12
"481","Cougar_37","2015",115.74
"482","Cougar_37","2016",152.453333333333
"483","Cougar_39","2014",101.58
"484","Cougar_39","2015",103.64
"485","Cougar_39","2016",118.48
"486","Drinking Bull Snake","2014",102.306666666667
"487","Drinking Bull Snake","2015",93.2133333333333
"488","Drinking Bull Snake","2016",116.053333333333
"489","Dunce_4","2014",106.34
"490","Dunce_4","2015",89.12
"491","Dunce_4","2016",117.426666666667
"492","Dunce_9","2014",101.58
"493","Dunce_9","2015",81.08
"494","Dunce_9","2016",122.253333333333
"495","East Pioneer","2014",108.72
"496","East Pioneer","2015",100.493333333333
"497","East Pioneer","2016",105.36
"498","Equisetum","2014",111.093333333333
"499","Equisetum","2015",93.96
"500","Equisetum","2016",115.013333333333
"501","Game Knob","2014",111.1
"502","Game Knob","2015",98.0666666666667
"503","Game Knob","2016",118.48
"504","Goat Ridge","2014",125.453333333333
"505","Goat Ridge","2015",101.22
"506","Goat Ridge","2016",112.6
"507","Goat_8","2014",108.7
"508","Goat_8","2015",84.28
"509","Goat_8","2016",115.013333333333
"510","Gun Shot","2014",101.58
"511","Gun Shot","2015",93.96
"512","Gun Shot","2016",107.773333333333
"513","Heleport","2014",118.24
"514","Heleport","2015",102.92
"515","Heleport","2016",103.64
"516","Hole","2014",95.1866666666667
"517","Hole","2015",73.8
"518","Hole","2016",93.0466666666667
"519","Lobauer","2014",96.82
"520","Lobauer","2015",84.28
"521","Lobauer","2016",119.84
"522","Meadow","2014",120.62
"523","Meadow","2015",93.96
"524","Meadow","2016",105.36
"525","Mountain Alder","2014",106.34
"526","Mountain Alder","2015",107.773333333333
"527","Mountain Alder","2016",107.773333333333
"528","Nervous Grouse","2014",95.1866666666667
"529","Nervous Grouse","2015",73.8
"530","Nervous Grouse","2016",93.0466666666667
"531","North Pioneer","2014",111.1
"532","North Pioneer","2015",102.92
"533","North Pioneer","2016",102.673333333333
"534","Picea","2014",187.26
"535","Picea","2015",149.62
"536","Picea","2016",171.866666666667
"537","Raspberry","2014",99.9333333333333
"538","Raspberry","2015",78.6533333333333
"539","Raspberry","2016",117.113333333333
"540","Salix","2014",113.48
"541","Salix","2015",100.493333333333
"542","Salix","2016",105.36
"543","Sedge","2014",175.36
"544","Sedge","2015",106.06
"545","Sedge","2016",125.76
"546","Snail","2014",102.306666666667
"547","Snail","2015",93.2133333333333
"548","Snail","2016",116.053333333333
"549","Soldier Bar","2014",101.58
"550","Soldier Bar","2015",85.9333333333333
"551","Soldier Bar","2016",110.186666666667
"552","West Goat","2014",98.9333333333333
"553","West Goat","2015",81.86
"554","West Goat","2016",119.84
"555","Wolf Skat","2014",101.58
"556","Wolf Skat","2015",89.12
"557","Wolf Skat","2016",107.486666666667
"558","Wolf Skull","2014",101.58
"559","Wolf Skull","2015",106.06
"560","Wolf Skull","2016",117.426666666667
